Hi.	مرحبًا.
I give my word.	أنا أعدك
I go to school.	أذهب إلى المدرسة.
I hated school.	لقد كَرِهتُ المَدرَسَة.
I have a cough.	لدي كحة.
I have a cough.	لدي سعال.
I have a fever.	لدي حمى.
I have a house.	عندي بيت.
I have no idea.	لا أعرف‏.‏‏
I have sisters.	لدي أخوات
I know the boy.	أعرف ذلك الولد.
I like castles.	أحب القلاع.
I like the dog.	أحب ذلك الكلب.
I lost my keys.	أضعت مفاتيحي.
I love lasagna.	أحب أكل اللازانيا.
I love parties.	أحب الحفلات.
I must buy one.	عليّ أن أشتري واحدة.
I must buy one.	لابد أن اشتري واحدة.
I need a knife.	أحتاج الى سكين.
I quit smoking.	توقفت عن التدخين
I saw five men.	رأيت خمسة رجال.
I saw him jump.	رأيته يقفز.
I saw one once.	رأيتُ واحدة مرة.
I see the girl.	أنا أري الفتاة.
I study Korean.	أنا أدرس اللغة الكورية.
I turned right.	انعطفتُ يمينًا.
I usually walk.	عادةً أمشي.
I want to know.	أود أن أعرف.
I want to live.	أريد أن أعيش
I was in shock.	شعرت بالصّدمة.
I wasn't there.	لم أَكُنْ هُناكْ.
I will sue you.	سأقاضيك.
I will sue you.	سأرفع عليك قضية.
I'd like to go.	أود الذهاب.
I'll come back.	سأعود.
I'll phone you.	سأتصل بك.
I'll scold him.	سأوبخه.
I'll stay home.	سأبقى في البيت.
I'm a free man.	أنا رجل حر.
I'm behind him.	إنني وراءه.
I'm from Kyoto.	أنا من كيوتو.
I'm in the car.	أنا في السيارة
I'm in trouble.	أنا في ورطة.
I'm not scared.	أنا لستُ خائفاً.
I'm not scared.	أنا لستُ خائفةً
I'm old enough.	أنا كبير بما يكفي.
I'm old enough.	أنا كبير بما فيه الكفاية.
I'm still here.	أنا ما زلت هنا.
I'm the killer.	أنا القاتل.
I'm undressing.	أنا أخلع ملابسي.
I'm very happy.	أنا سعيد للغاية.
I'm very happy.	أنا سعيد جداً.
I'm very sorry.	أنا آسف جداً
I've been busy.	كنت مشغولا.
I've seen that.	سبق و رأيت ذلك.
I've seen that.	لقد رأيت ذلك من قبل.
If only I knew!	لو أنّني كنت أعرف!
Is he American?	أهو أمريكي؟
Is he Japanese?	هل هو ياباني؟
Is this French?	هل هذه فرنسية؟
Isn't it black?	أليست سوداء؟
Isn't it black?	أليس أسوداً؟
It is Saturday.	هل اليوم هو السبت؟
It is so early.	الوقت مبكر جدا.
It was a mouse.	كان ذلك فأراً.
It's brand new.	إنها جديدة.
It's dangerous!	إنك في خطر!
It's hot today.	الجو حار اليوم.
It's hot today.	اليوم حار
It's ready now.	إنها جاهزة الأن.
It's the queen.	إنها الملكة.
It's too small.	إنها صغيرة جداً.
It's too small.	إنها صغيرة جداً
It's up to you.	الأمر يعود إليك.
It's up to you.	كما تريد.
It's very cold.	إن الجو قارس.
It's very cold.	الجو بارد جداً.
It's very good.	هذا جيد جدا
It's well done.	حسنًا عُمِلَ.
It's your book.	إنه كتابك.
It's your turn.	إنه دورك.
Just follow me.	اتبعني فحسب.
Kids love dogs.	الأطفال يحبّون الكلاب.
Leave it to me.	دع الأمر لي.
Leave me alone!	اتركني و شأني!
Leave me alone!	دعني و شأني!
Let us go home.	لنعُد إلى البيت.
Let us go home.	هيا لنرجع إلى المنزل.
Let's hurry up.	لنسرع.
Let's not talk.	دعونا لا نتحدث.
Let's not talk.	دعينا لا نتحدث.
Let's not talk.	دعنا لا نتحدث.
Let's watch TV.	لنشاهد التلفاز.
Let's watch TV.	لنشاهد الرائي.
Let's watch TV.	لنشاهد التلفزيون.
Lock the doors.	أقفل الأبواب.
Look after Tom.	اعتني بتوم
Louder, please.	من فضلك، ارفع صوتك.
Lynn runs fast.	لين تركض بسرعة.
May I help you?	هل تحتاج لمساعدة؟
May I help you?	هل لي أن أساعدك؟
May I help you?	أيمكنني مساعدتك؟
May I help you?	هل يمكنني أن اساعدك؟
May I sit down?	أيمكنني الجلوس؟
May I sit here?	أيمكنني الجلوس هنا؟
May I use this?	هل يمكنني استخدام هذا؟
My joints ache.	مفاصلي تؤلمني.
My tooth hurts.	سني يؤلمني.
Now I remember.	الآن تذكرت.
Now I remember.	تذكرت الآن.
Only God knows.	الله وحده يعلم.
People like me.	الناس يحبونني.
Please come in.	تفضل بالدخول.
Please come in.	تفضّل بالدّخول.
Please help me.	من فضلك ساعدني.
Please hold on.	انتظر قليلاً.
Prices went up.	ارتفعت الأسعار.
She grew roses.	زرعت ورداً.
She might come.	ربما ستأتي.
She might come.	من الممكن أنها ستأتي.
She's not here.	هي ليست هنا
Take your time.	خذ وقتك.
Tell everybody.	أخبر الجميع
Tell the truth.	قل الحقيقة
Thanks a bunch.	شكرا جزيلا.
That's a hotel.	ذاك فندقٌ.
That's a hotel.	ذلك فندقٌ.
That's my book.	هذا كتابي.
The birds sang.	غردت العصافير.
They all drank.	كلهم سكارى.
They are happy.	إنهم سعداء
They are happy.	هم سعداء
They hated Tom.	كانوا يكرهون توم.
They let me go.	هُم تركوني أذهب.
Think about it.	فكر في ذلك.
Think about it.	فكر بذلك
This is a book.	هذا كتاب.
This is a joke.	هذه نكتة.
This is my car.	هذه سيارتي.
Time to get up.	حان وقت الإستيقاظ.
Tom is waiting.	توم ينتظر.
Tom isn't here.	توم ليس هنا
Tom isn't home.	توم ليس في البيت
Tom knows that.	توم يعلم ذلك
Tom looks pale.	يبدو توم شاحب الوجه.
Tom's not home.	توم ليس في البيت
Tom's the best.	توم هو الأفضل.
Tom's watching.	توم يشاهد
Wash your feet.	اِغسل رجليك.
Watch the rear.	راقب الجزء الخلفي .
We are at home.	نحن في المنزل
We made him go.	جعلناه يذهب.
We'll find one.	سنجد واحدا.
We'll kill you.	سنقتلك.
We're obedient.	نحن مطيعون.
We're safe now.	نحن بمأمن الآن.
We're safe now.	نحن في أمان الآن.
We're students.	نحن طلاب
Well, let's go.	إذاً هيا بنا نذهب.
What a big dog!	يا له من كلب كبير!
What about Tom?	ماذا عن "توم"؟
What do you do?	ما هو عملك؟
What if I fail?	ماذا لو فشلت؟
When do we eat?	متى سنأكل؟
Where are they?	أين هم؟
Where are they?	أين هما؟
Where is Paris?	أين تقع باريس؟
Where were you?	أين كنت؟
Who broke this?	من كسر هذا؟
Who's that boy?	من هذا الصبي؟
Why do you ask?	لم تسأل؟
Why do you ask?	لماذا تسأل؟
Why is he here?	لماذا هو موجود هنا؟
Why is he here?	لم هو هنا؟
Why is he here?	لماذا هو هنا؟
Yes, I know it.	نعم, أعلم
Yes, of course.	نعم، بالطبع.
You are stupid.	أنت أحمق.
You have to go.	عليك أن تذهب.
You have to go.	عليك الرحيل.
You have to go.	عليك أن ترحل.
You look bored.	يبدو عليك الملل.
You look happy.	تبدو سعيداً
You look tired.	تبدو متعباً.
You're kidding!	لا بد أنك تمزح!
You're welcome.	عفوًا.
Are these yours?	هل هذه الأشياء لك؟
Are you at home?	هل أنت في البيت؟
Are you at home?	هل أنت موجود في المنزل؟
Are you kidding?	هل تَمْزَح؟
Are you kidding?	أأنت تمزح؟
Bees make honey.	يصنع النحل العسل.
Bring him to me.	أحضره إلي.
Call the police!	اتصل بالشرطة!
Call the police!	اطلب الشرطة!
Can you find it?	أيمكنك أن تبحث عنها؟
Can you find it?	أيمكنك إيجادها؟
Can you hear me?	أيمكنك أن تسمعني؟
Can you hear me?	هل بإمكانك سماعي؟
Can you help me?	هل يمكنك أن تساعدني؟
Clean your room.	نظف غرفتك.
Clean your room.	نظفي غرفتكِ.
Close your eyes.	أغلق عينيك.
Come if you can.	تعال إذا أمكنك.
Congratulations!	مبروك.
Congratulations!	تهانينا!
Congratulations!	مبارك!
Congratulations!	تهانيّ!
Defend yourself.	دافِع عن نَفسَك.
Did you miss me?	هل اشتقت إليّ؟
Did you miss me?	هل اشتقت لي؟
Did you miss me?	هل افتقدتني؟
Do you eat meat?	هل تأكل اللحم؟
Do you have one?	ألديك واحد؟
Do you have one?	هل لديك واحدة؟
Do you have one?	هل لديك واحد؟
Do you know why?	هل تعلم لماذا؟
Do you like rap?	أتحب موسيقى الراب؟
Do you remember?	أما زلت تذكر؟
Do you see that?	هل تري هذا؟
Do you think so?	أتعتقد ذلك؟
Does it look OK?	هل تبدو بخير؟
Don't come here.	لا تأت هنا.
Don't look back.	لا تنظر إلى الوراء.
Don't look back.	لا تنظر إلى الخلف.
Don't look back.	لا تنظر وراءك.
Don't play dumb!	لا تتظاهر بالغباء!
Don't play here.	لا تلعب هنا.
Drive carefully.	قُد بحذر.
Enjoy your meal!	بالصحة و العافية!
Get out of here.	إخرج من هنا.
Give me a break.	اعطني مهلة.
Give me the key.	أعطني المفتاح.
Great, isn't it?	عظيم, أليس كذلك؟
Green suits you.	يناسبك اللون الأخضر.
He began to cry.	أخذت تبكي.
He got the ball.	أصبحت الكرة معه.
He got the ball.	حصل على الكرة.
He is very kind.	إنه لطيف جداً.
He looks strong.	يبدو قوياً.
He lost his job.	فقد عمله.
He lost his job.	خسر وظيفته.
He loves trains.	إنه يحب القطارات.
He was laid off.	تم طرده
He will also go.	سيذهب كذلك.
He's her friend.	هو صديقها
He's in trouble.	إنهُ في مشكلة.
He's my brother.	هو أخي
He's not stupid.	ليس غبياً.
Here's the bill.	تفضل الحساب
Here's your dog.	ها هو كلبك.
Hi! How are you?	أهلاً كيف حالك؟
How are you now?	كيف حالك الآن؟
How do you know?	و كيف لك أن تعرف؟
How fascinating!	يا للروعة!
How fascinating!	كم هذا رائع!.
How interesting!	كم هذا مثير للإهتمام!
How is everyone?	كيف حال الجميع؟
How is everyone?	كيف حالكم جميعاً؟
How is your dad?	كيف حال أبيك؟
How nice of you!	كم رائع أنتَ!
How nice of you!	كم رائعة أنتِ!
How old are you?	كم عمرك؟
How rude of you!	يا لوقاحتك!
How rude of you!	يا لك من وقح!
I am from China.	أنا من الصين.
I am from Egypt.	أنا من مصر.
I am not afraid.	أنا لست خائف.
I am very sorry.	أنا آسف جداً
I broke a glass.	كسرت كوبا.
I called Tom up.	اتصلت بتوم.
I called my dog.	ناديت كلبي.
I did it myself.	فعلت هذا بنفسي.
I go every year.	أذهب كل سنة.
I hate politics.	أكره السياسة.
I have a sister.	لدي أخت
I have no money.	ليس لدي أي مال.
I have no money.	لدي نقود
I have ten pens.	لديّ عشرة أقلام.
I have to study.	عليّ أن أدرس.
I have two cars.	عندي سيارتان.
I have two sons.	عندي ابنان.
I hear the drum.	أسمع الطبول.
I keep sneezing.	أعطس كثيراً.
I know his name.	أعرف اسمه.
I know his name.	أعرف اسمه
I know the girl.	أعرف تلك الصبية.
I know the girl.	أعرف تلك الفتاة.
I like your car.	تعجبني سيارتك.
I live in Japan.	أعيش في اليابان.
I live in Japan.	أنا أعيش في اليابان
I love to dance.	أحب الرقص.
I love to dance.	أحب أن أرقص.
I must help her.	يجب أن أساعدها.
I must help him.	عليّ أن أساعده.
I need a pencil.	أحتاج لقلم.
I need his help.	أحتاج إلى مساعدته.
I need the keys.	أحتاج للمفاتيح.
I need to study.	أحتاج إلى أن أدرس.
I often see him.	عادة ما أراه.
I play with him.	ألعب معه.
I played tennis.	لعبت التنس.
I prefer biking.	أفضّل ركوب الدرّاجة الهوائيّة.
I prefer biking.	أفضّل ركوب الدرّاجة.
I prefer biking.	أفضل ركوب الدراجة.
I read his book.	أنا أقرأ كتابه
I run every day.	أركض كل يوم.
I think it's OK.	أظن أنها لا بأس بها.
I want a guitar.	أريد قيثارة.
I want a guitar.	أريد الحصول على جيتار.
I want my mommy.	أريد أمي.
I want one, too.	أنا أريد واحدة، أيضا.
I want one, too.	أريد واحداً
I want that bag.	أريد تلك الحقيبة.
I want to drive.	أريد أن أقود.
I want to sleep.	أريد أن أنام.
I went shopping.	أنا ذهبت للتسوق.
I will miss you.	سأشتاق إليك.
I work with him.	أعمل معه.
I'll get my bag.	سوفَ أُحضرُ حقيبتي.
I'm a night owl.	أنا رجل سهر.
I'm about ready.	أنا جاهز تقريباً.
I'm doing great.	أنا بخير
I'm feeling fit.	أشعر أني رشيق.
I'm feeling fit.	أحس بأن لياقتي عالية.
I'm from Canada.	أنا من كندا.
I'm from Zambia.	أنا من زامبيا.
I'm going to go.	أنا ذاهب.
I'm going to go.	سأذهب الآن.
I'm left-handed.	أنا أيسر.
I'm not kidding.	لستُ أمزح!
I'm not thirsty.	لا أشعر بالعطش.
I'm not worried.	أنا لست قلقاً.
I'm on the list.	أنا على القائمة.
I'm only joking.	أنا فقط أمزح.
I'm reading now.	أنا أقرأ الآن
I'm very hungry.	أنا جائع جداً.
I'm your father.	أنا والدك.
I'm your friend.	انا صديقك.
Is dinner ready?	هل العشاء جاهز؟
Is it not black?	أليست سوداء؟
Is she Japanese?	هل هي يابانية؟
Is she a doctor?	هل هي طبيبة؟
Is she a doctor?	أهي طبيبة؟
Is this a river?	هل هذا نهر؟
It's a nice day.	إنه يوم جميل.
It's a surprise.	إنّها مفاجأة.
It's almost six.	قاربت على السادسة.
It's artificial.	إنه صناعي.
It's artificial.	إنها صناعية.
It's cold today!	الجو بارد اليوم!
It's cold today.	إنه يوم بارد
It's fine today.	طقس اليوم جميل.
It's impossible.	إن ذلك مستحيل.
It's impossible.	هذا مستحيل.
It's incredible.	لا يُصدّق.
It's lunch time.	إنه وقت الغداء.
It's lunch time.	حان وقت طعام الغداء.
It's not broken.	إنها ليست مكسورة
It's not enough.	انها ليست كافيه
It's not so far.	ليس بعيداً.
It's okay to go.	لا بأس أن تذهب.
It's time to go.	حان وقت الذهاب.
Lemons are sour.	الليمون حامض.
Let me go alone.	دعني أذهب وحدي.
Let me help you.	دعني أساعدك.
Let's eat sushi.	لنأكل السوشي.
Let's get a cab.	دعنا نحصل على سيارة أجرة.
Let's get a cab.	دعونا نحصل على سيارة أجرة.
Let's get drunk.	هيا لنشرب.
Let's get drunk.	هيا بنا لنسكر.
Let's go by bus.	لنذهب بالحافلة.
Let's stop here.	سنكتفي بهذا الحد اليوم و نقف هنا.
Let's turn back.	لنعد أدراجنا.
Make it smaller.	اجعلها أصغر.
Mary is my wife.	تكون ماري زوجتي.
May I interrupt?	هل لي أن أقاطع؟
